 VARIABLES="X","Y","U","V","P"
 ZONE F=POINT, I=          64 , J=          64
   7.81250000E-03   7.81250000E-03   1.33575104E-05  -1.38748228E-05   1.11252237E-02
   2.34375000E-02   7.81250000E-03   1.44437900E-05   1.15762195E-05   1.11150332E-02
   3.90625000E-02   7.81250000E-03  -4.55144618E-05   4.69936422E-05   1.10979406E-02
   5.46875000E-02   7.81250000E-03  -1.71752879E-04   7.78590256E-05   1.10797612E-02
   7.03125000E-02   7.81250000E-03  -3.51866998E-04   1.00870777E-04   1.10641913E-02
   8.59375000E-02   7.81250000E-03  -5.70763368E-04   1.16643729E-04   1.10531859E-02
  0.101562500       7.81250000E-03  -8.15659063E-04   1.26874074E-04   1.10475719E-02
  0.117187500       7.81250000E-03  -1.07719598E-03   1.33292662E-04   1.10475440E-02
  0.132812500       7.81250000E-03  -1.34917162E-03   1.37322088E-04   1.10529885E-02
  0.148437500       7.81250000E-03  -1.62786338E-03   1.40018019E-04   1.10637015E-02
  0.164062500       7.81250000E-03  -1.91132445E-03   1.42099758E-04   1.10794958E-02
  0.179687500       7.81250000E-03  -2.19878089E-03   1.44023667E-04   1.11002773E-02
  0.195312500       7.81250000E-03  -2.49016983E-03   1.46044942E-04   1.11260507E-02
  0.210937500       7.81250000E-03  -2.78580026E-03   1.48276464E-04   1.11569362E-02
  0.226562500       7.81250000E-03  -3.08610755E-03   1.50734879E-04   1.11931674E-02
  0.242187500       7.81250000E-03  -3.39149125E-03   1.53367349E-04   1.12350630E-02
  0.257812500       7.81250000E-03  -3.70220374E-03   1.56075737E-04   1.12830345E-02
  0.273437500       7.81250000E-03  -4.01826063E-03   1.58724215E-04   1.13375746E-02
  0.289062500       7.81250000E-03  -4.33938205E-03   1.61152027E-04   1.13992263E-02
  0.304687500       7.81250000E-03  -4.66494076E-03   1.63176213E-04   1.14685763E-02
  0.320312500       7.81250000E-03  -4.99392301E-03   1.64589583E-04   1.15462281E-02
  0.335937500       7.81250000E-03  -5.32488571E-03   1.65166566E-04   1.16328159E-02
  0.351562500       7.81250000E-03  -5.65591268E-03   1.64665209E-04   1.17289759E-02
  0.367187500       7.81250000E-03  -5.98458759E-03   1.62825294E-04   1.18352911E-02
  0.382812500       7.81250000E-03  -6.30796980E-03   1.59380652E-04   1.19523024E-02
  0.398437500       7.81250000E-03  -6.62257802E-03   1.54059031E-04   1.20804720E-02
  0.414062500       7.81250000E-03  -6.92438893E-03   1.46588529E-04   1.22201405E-02
  0.429687500       7.81250000E-03  -7.20884744E-03   1.36712246E-04   1.23715010E-02
  0.445312500       7.81250000E-03  -7.47091183E-03   1.24196245E-04   1.25345504E-02
  0.460937500       7.81250000E-03  -7.70510361E-03   1.08840708E-04   1.27090737E-02
  0.476562500       7.81250000E-03  -7.90559314E-03   9.04928747E-05   1.28945708E-02
  0.492187500       7.81250000E-03  -8.06629937E-03   6.90551533E-05   1.30902342E-02
  0.507812500       7.81250000E-03  -8.18101503E-03   4.44976213E-05   1.32948896E-02
  0.523437500       7.81250000E-03  -8.24362133E-03   1.69420509E-05   1.35069638E-02
  0.539062500       7.81250000E-03  -8.24877247E-03  -1.29611726E-05   1.37243569E-02
  0.554687500       7.81250000E-03  -8.19193944E-03  -4.50508924E-05   1.39440196E-02
  0.570312500       7.81250000E-03  -8.06901045E-03  -7.90647755E-05   1.41633246E-02
  0.585937500       7.81250000E-03  -7.87681900E-03  -1.14316266E-04   1.43793384E-02
  0.601562500       7.81250000E-03  -7.61379208E-03  -1.49904925E-04   1.45888887E-02
  0.617187500       7.81250000E-03  -7.28028640E-03  -1.84798118E-04   1.47886556E-02
  0.632812500       7.81250000E-03  -6.87882211E-03  -2.17866473E-04   1.49753075E-02
  0.648437500       7.81250000E-03  -6.41421834E-03  -2.47936841E-04   1.51456352E-02
  0.664062500       7.81250000E-03  -5.89362904E-03  -2.73847487E-04   1.52967097E-02
  0.679687500       7.81250000E-03  -5.32646338E-03  -2.94507539E-04   1.54260434E-02
  0.695312500       7.81250000E-03  -4.72416915E-03  -3.08970222E-04   1.55317336E-02
  0.710937500       7.81250000E-03  -4.09986684E-03  -3.16504680E-04   1.56125985E-02
  0.726562500       7.81250000E-03  -3.46786063E-03  -3.16661026E-04   1.56682339E-02
  0.742187500       7.81250000E-03  -2.84303026E-03  -3.09319003E-04   1.56991091E-02
  0.757812500       7.81250000E-03  -2.24013254E-03  -2.94714962E-04   1.57065336E-02
  0.773437500       7.81250000E-03  -1.67310098E-03  -2.73438753E-04   1.56925991E-02
  0.789062500       7.81250000E-03  -1.15437340E-03  -2.46396783E-04   1.56600699E-02
  0.804687500       7.81250000E-03  -6.94328919E-04  -2.14742788E-04   1.56122334E-02
  0.820312500       7.81250000E-03  -3.00883810E-04  -1.79784140E-04   1.55527182E-02
  0.835937500       7.81250000E-03   2.07010380E-05  -1.42870282E-04   1.54853072E-02
  0.851562500       7.81250000E-03   2.67749012E-04  -1.05237195E-04   1.54138058E-02
